Gender,RFCM,Time,Influence,Du lịch,Thể thao điện tử,Phim ảnh,Âm nhạc,Thời trang,Đọc sánh,Hội họa - mỹ thuật,Thể thao,Chụp ảnh,chơi game,Biên tập viên,phóng viên,Viết,dancing,Uống trà sữa cùng hội chị em.,Maths_score,Physics_score,Chemistry_score,English_score,Literature_score,History_score,Geography_score,Major
1,Năng lực bản thân,4.0,3.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.5,9.5,7.25,8.5,8.5,8.5,8.5,Luật
0,Sở thích,4.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,8.5,8.5,9.5,9.5,Công nghệ phần mềm
0,Sở thích,4.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.3,8.7,7.0,7.1,6.5,8.9,9.2,Điều Khiển tự động hóa
1,Nguyện vọng của gia đình,1.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,5.75,8.5,8.5,Kế toán
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,8.5,8.5,Hệ thống thông tin
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,5.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,8.5,7.25,7.25,Tài chính ngân hàng
0,Sở thích,4.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,Kiến Trúc
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,5.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,8.5,7.25,7.25,Tài chính ngân hàng
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,3.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,8.5,8.5,8.5,5.75,7.25,7.25,7.25,Quản trị kinh doanh
0,Nguyện vọng của gia đình,4.0,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,8.5,8.5,Khoa học môi trường
0,Sở thích,5.0,5.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,7.25,8.5,7.25,7.25,7.25,Truyền thông mạng máy tính
0,Năng lực bản thân,5.0,4.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.5,9.5,9.5,7.25,7.25,8.5,8.5,Cơ khí
1,Năng lực bản thân,3.0,4.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7.25,7.25,7.25,8.5,7.25,7.25,7.25,Mỹ thuật đa phương tiện
1,Nguyện vọng của gia đình,3.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,9.5,7.25,9.5,9.5,Bác sĩ Y học cổ truyền
1,Sở thích,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,8.5,7.25,7.25,Quản trị kinh doanh
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,8.5,7.25,8.5,8.5,Quản trị kinh doanh
1,Sở thích,4.0,5.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,7.25,8.5,7.25,7.25,8.5,8.5,Y học cổ truyền
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7.25,8.5,8.5,8.5,5.75,7.25,8.5,Điều Khiển tự động hóa
1,Năng lực bản thân,3.0,3.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,9.5,8.5,7.25,7.25,7.25,Y học cổ truyền
0,Sở thích,5.0,4.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,9.7,9.5,9.8,9.5,8.5,9.5,9.5,Điều Khiển tự động hóa
1,Năng lực bản thân,3.0,4.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,8.5,9.5,9.5,Quản trị du lịch lữ hành
1,Sở thích,4.0,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,8.5,8.5,9.5,8.5,Y học cổ truyền
0,Sở thích,3.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,9.5,7.25,7.25,8.5,7.25,Ngôn ngữ anh
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,8.5,7.25,8.5,8.5,Tài chính ngân hàng
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,9.5,7.25,8.5,8.5,9.5,Ngôn ngữ anh
0,Sở thích,4.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,9.5,9.5,Truyền thông mạng máy tính
1,Sở thích,5.0,5.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,9.5,7.25,8.5,8.5,7.25,8.5,8.5,Y học cổ truyền
0,Năng lực bản thân,5.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,5.75,7.25,Xây dựng
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),5.0,3.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,7.25,8.5,7.25,7.25,Y đa khoa
1,Sở thích,4.0,4.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,8.5,8.5,8.5,9.5,Sư phạm toán
0,Nguyện vọng của gia đình,2.0,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5.75,5.75,2.5,5.75,5.75,7.25,7.25,Dược sĩ
1,Năng lực bản thân,4.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,7.25,7.25,Sư phạm toán
0,Nguyện vọng của gia đình,3.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,5.75,8.5,7.25,7.25,7.25,8.5,Y đa khoa
0,Nguyện vọng của gia đình,1.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,5.75,7.25,8.5,Sư phạm toán
0,Năng lực bản thân,5.0,2.0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,8.4,8.5,7.25,5,7.25,7.25,7.25,Y đa khoa
0,Nguyện vọng của gia đình,3.0,5.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,9.5,5.75,7.25,7.25,7.25,Y đa khoa
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),5.0,5.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,9.5,9.5,Quản trị du lịch lữ hành
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,8.5,7.25,8.5,5.75,7.25,7.25,Điều Khiển tự động hóa
1,Sở thích,3.0,4.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,8.5,8.5,8.5,Y đa khoa
0,Sở thích,4.0,3.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,8.5,7.25,8.5,8.5,Y đa khoa
0,Sở thích,3.0,5.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,8.5,8.5,Kỹ Thuật điện - điện tử
1,Sở thích,3.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,8.5,8.5,8.5,8.5,Y đa khoa
1,Sở thích,5.0,5.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,8.5,8.5,8.5,8.5,Sư phạm tiểu học
0,Năng lực bản thân,5.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,9.5,9.5,Công nghệ phần mềm
1,Sở thích,4.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5.75,7.25,7.25,5.75,7.25,9.5,8.5,Phương đông học
1,Năng lực bản thân,5.0,4.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,8.5,8.5,9.5,8.5,Y đa khoa
0,Sở thích,5.0,5.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,7.25,8.5,Xây dựng
1,Nguyện vọng của gia đình,3.0,4.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,9.5,7.25,9.5,9.5,7.25,7.25,7.25,Y học dự phòng
1,Sở thích,5.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10.0,9.5,8.5,5.75,9.5,7.25,9.5,Y đa khoa
0,Sở thích,3.0,3.0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,9.5,7.25,9.5,5.75,5.75,9.5,5,Y đa khoa
0,Sở thích,2.0,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.7,9.5,9.6,9.4,8.1,7.5,8.5,Tài chính ngân hàng
1,Nguyện vọng của gia đình,1.0,3.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,9.5,7.25,9.5,8.5,7.25,8.5,7.25,Y đa khoa
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),2.0,4.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,9.5,9.5,Kiểm toán
0,Năng lực bản thân,4.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,8.5,7.25,8.5,7.25,9.5,9.5,Quản trị kinh doanh
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,8.5,8.5,Quản trị kinh doanh
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),2.0,5.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,7.25,5.75,8.5,7.25,8.5,8.5,Khoa học máy tính
0,Năng lực bản thân,4.0,4.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,8.5,7.25,8.5,8.5,7.25,7.25,7.25,Hóa học
1,Năng lực bản thân,4.0,4.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,5.75,7.25,7.25,8.5,Công nghệ thực phẩm
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),2.0,4.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,5.75,8.5,7.25,Cơ khí
0,Sở thích,4.0,5.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,7.25,8.5,8.5,5.75,5.75,5.75,Y đa khoa
0,Sở thích,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,7.25,5.75,7.25,5.75,5.75,5.75,Kỹ Thuật điện - điện tử
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,1.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,7.25,7.25,7.25,Luật
1,Sở thích,2.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,7.25,8.5,8.5,Quản trị kinh doanh
0,Sở thích,3.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,5.75,7.25,Cơ khí
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),5.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,9.5,9.5,Hệ thống thông tin
0,Năng lực bản thân,4.0,3.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,9.5,9.5,7.25,7.25,9.5,9.5,Cơ khí
1,Sở thích,5.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,7.25,8.5,8.5,7.25,8.5,8.5,Giáo dục thể chất
1,Sở thích,1.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,8.5,8.5,7.25,8.5,8.5,8.5,Luật
0,Sở thích,5.0,4.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,5.75,5,5,Cơ khí
1,Năng lực bản thân,5.0,5.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,8.5,Y đa khoa
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,9.5,9.5,8.5,7.25,7.25,8.5,8.5,Công nghệ thông tin
1,Năng lực bản thân,2.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,7.25,7.25,7.25,8.5,8.5,8.5,Truyền thông mạng máy tính
0,Sở thích,3.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,5.75,7.25,7.25,Cơ khí
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,5.75,5.75,5.75,5.75,7.25,7.25,Kỹ Thuật điện - điện tử
1,Sở thích,4.0,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,7.25,8.5,Y đa khoa
1,Sở thích,4.0,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,7.25,8.5,Y đa khoa
0,Sở thích,3.0,5.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,9.5,8.5,9.5,9.5,Truyền thông mạng máy tính
1,Năng lực bản thân,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,7.25,7.25,7.25,7.25,8.5,7.25,Giáo dục thể chất
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,9.5,9.5,Giáo dục mầm non
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,8.5,Quản trị kinh doanh
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,2.5,7.25,9.5,9.5,Cơ khí
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,5.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7.25,5.75,5.75,2.5,7.25,7.25,5.75,Giáo dục thể chất
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.75,5.75,5.75,5.75,5.75,7.25,8.5,Điều dưỡng
0,Sở thích,5.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,9.5,7.25,Cơ khí
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9.5,9.5,7.25,9.5,8.5,8.5,8.5,Truyền thông mạng máy tính
0,Sở thích,5.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,5.75,7.25,5.75,5,5,Cơ khí
0,Nguyện vọng của gia đình,4.0,3.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7.25,7.25,8.5,5.75,5.75,7.25,7.25,Xây dựng
0,Sở thích,5.0,3.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,8.5,5.75,5.75,5.75,8.5,8.5,8.5,Giáo dục thể chất
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,8.5,8.5,9.5,8.5,7.25,8.5,8.5,Quản trị kinh doanh
1,Sở thích,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,7.25,8.5,Ngôn ngữ Nhật
0,Sở thích,1.0,3.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.75,5.75,5.75,7.25,7.25,5.75,5.75,Mỹ thuật đa phương tiện
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),5.0,3.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,9.5,8.5,7.25,8.5,8.5,Dược sĩ
1,Sở thích,2.0,3.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,5.75,5.75,5.75,7.25,7.25,7.25,Giáo dục mầm non
1,Năng lực bản thân,3.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,8.5,7.25,8.5,8.5,Mỹ thuật đa phương tiện
0,Nguyện vọng của gia đình,3.0,4.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,5.75,8.5,8.5,Y học dự phòng
1,Nguyện vọng của gia đình,3.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,8.5,8.5,Y đa khoa
0,Sở thích,3.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,5,8.5,8.5,7.25,5,5,Y đa khoa
1,Nguyện vọng của gia đình,3.0,3.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Kế toán
1,Sở thích,4.0,4.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,8.5,5.75,8.5,8.5,Giáo dục thể chất
0,Mức thu nhập của gia đình,4.0,5.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.25,7.25,5.75,5.75,8.5,9.5,9.5,Công nghệ phần mềm
0,Sở thích,5.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,8.5,8.5,Cơ khí
1,Mức thu nhập của gia đình,4.0,5.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,9.5,Giáo dục thể chất
0,Sở thích,4.0,4.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,7.25,7.25,Khoa học máy tính
0,Năng lực bản thân,5.0,3.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,5,5,Truyền thông mạng máy tính
1,Sở thích,2.0,3.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Giáo dục thể chất
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.5,8.5,9.5,8.5,8.5,9.5,8.5,Răng hàm mặt
1,Năng lực bản thân,2.0,4.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,8.5,7.25,9.5,7.25,7.25,8.5,8.5,Y đa khoa
1,Sở thích,4.0,5.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7.25,7.25,5.75,5.75,5.75,5.75,5.75,Giáo dục thể chất
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,9.5,8.5,Quản trị du lịch lữ hành
0,Năng lực bản thân,3.0,1.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,5.75,8.5,8.5,Cơ khí
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,5.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9.5,9.5,7.25,8.5,7.25,8.5,8.5,Thương mại điện tử
1,Sở thích,3.0,5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7.25,5.75,7.25,7.25,7.25,9.5,8.5,Quản trị du lịch lữ hành
0,Sở thích,4.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.5,9.5,7.25,8.5,5.75,7.25,7.25,Công nghệ thông tin
0,Sở thích,4.0,1.0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9.5,9.5,7.25,7.25,7.25,7.25,7.25,Sư phạm toán
1,Sở thích,2.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,8.5,7.25,8.5,Giáo dục mầm non
0,Sở thích,5.0,5.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,7.25,7.25,5.75,5.75,7.25,8.5,8.5,Sư phạm tiểu học
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,5.75,5.75,5.75,7.25,Điều Khiển tự động hóa
1,Sở thích,3.0,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,8.5,8.5,9.5,9.5,Ngôn ngữ anh
1,Năng lực bản thân,4.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,9.5,9.5,Quản trị du lịch lữ hành
1,Mức thu nhập của gia đình,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,9.5,8.5,7.25,8.5,Quản lý công nghiệp
0,Năng lực bản thân,5.0,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,7.25,7.25,Khoa học máy tính
1,Năng lực bản thân,5.0,4.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,7.25,9.5,7.25,7.25,7.25,7.25,Y học cổ truyền
1,Sở thích,4.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.5,9.5,2.5,7.25,5.75,9.5,9.5,Hệ thống thông tin
1,Sở thích,4.0,4.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,9.5,9.5,Thiết kế thời trang
0,Sở thích,5.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,8.5,8.5,Y đa khoa
1,Sở thích,5.0,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5.75,5.75,5.75,5.75,5.75,7.25,7.25,Giáo dục mầm non
1,Sở thích,5.0,5.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,9.5,8.5,9.5,9.5,8.5,8.5,8.5,Công nghệ sinh học
1,Sở thích,5.0,2.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,8.5,8.5,9.5,9.5,Y đa khoa
1,Mức thu nhập của gia đình,4.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Tài chính ngân hàng
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,2.5,7.25,7.25,7.25,9.5,9.5,Tài chính ngân hàng
0,Sở thích,5.0,5.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,2.5,2.5,7.25,2.5,2.5,2.5,Công nghệ phần mềm
1,Năng lực bản thân,3.0,5.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,8.5,8.5,Quản trị kinh doanh
1,Sở thích,5.0,4.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,8.5,7.25,7.25,8.5,7.25,7.25,7.25,Tài chính ngân hàng
0,Sở thích,4.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,9.5,7.25,9.5,7.25,7.25,7.25,Khoa học máy tính
1,Sở thích,5.0,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,9.5,8.5,7.25,7.25,Tài chính ngân hàng
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,3.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,8.5,5.75,7.25,5.75,5.75,5.75,Cơ khí
1,Năng lực bản thân,1.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,8.5,Thú y
1,Sở thích,4.0,4.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,8.5,8.5,8.5,Mỹ thuật đa phương tiện
0,Sở thích,4.0,3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.25,8.5,8.5,7.25,7.25,8.5,8.5,Công nghệ sinh học
0,Năng lực bản thân,2.0,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,5.75,7.25,8.5,Toán ứng dụng
0,Năng lực bản thân,5.0,2.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,5,Giáo dục thể chất
0,Năng lực bản thân,4.0,3.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7.25,8.5,7.25,8.5,8.5,9.5,8.5,Báo chí
1,Sở thích,5.0,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,Ngôn ngữ anh
1,Nguyện vọng của gia đình,2.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,8.5,8.5,9.5,9.5,Khoa học máy tính
1,Năng lực bản thân,1.0,3.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,8.5,7.25,7.25,9.5,Kinh doanh quốc tế
1,Năng lực bản thân,5.0,4.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,7.25,8.5,Khoa học môi trường
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,7.25,8.5,8.5,Kinh doanh quốc tế
0,Sở thích,3.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,5.75,5.75,5.75,5.75,Y đa khoa
